,index,Ano,Produto,Quantidade produzida (Toneladas),Quantidade produzida (mil frutos),Rendimento médio da produção (Quilogramas por Hectare),Rendimento médio da produção (mil frutos por Hectare),Valor da produção (Mil Reais),Área colhida (Hectares),Área plantada ou destinada à colheita (Hectares)
70,70,2002.0,Milho,832644.0,,153252.14118012637,,285936.0,521334.0,549840.0
71,71,2002.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
72,72,2002.0,Tangerina,5920.0,,334179.368159204,,704.0,402.0,402.0
73,73,2002.0,Tomate,20812.0,,582795.4802259887,,16630.0,708.0,726.0
74,74,2002.0,Uva,0.0,,0.0,,0.0,0.0,0.0
75,75,2003.0,Abacate,2450.0,,138557.6923076923,,728.0,104.0,104.0
76,76,2003.0,Abacaxi,488398.0,,1255448.1546391754,,206126.0,19400.0,19414.0
77,77,2003.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
78,78,2003.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
79,79,2003.0,Arroz,1169768.0,,165042.79445810427,,588568.0,579152.0,581116.0
80,80,2003.0,Banana,1410536.0,,1550760.4758103206,,331962.0,104218.0,109012.0
81,81,2003.0,Borracha,1240.0,,4321.103354487761,,1294.0,2206.0,6844.0
82,82,2003.0,Cacau,63048.0,,38042.74258970359,,222490.0,102560.0,103114.0
83,83,2003.0,Café,37314.0,,53553.41122774989,,39692.0,35056.0,45736.0
84,84,2003.0,Castanha de caju,5686.0,,18936.513928914508,,3250.0,4164.0,4164.0
85,85,2003.0,Coco,,450776.0,,1102590.0562952373,93792.0,44764.0,44828.0
86,86,2003.0,Dendê,1458002.0,,257256.6773047253,,91426.0,88926.0,88926.0
87,87,2003.0,Feijão,137544.0,,88960.67691718455,,153714.0,161878.0,162974.0
88,88,2003.0,Goiaba,5000.0,,50000.0,,2250.0,200.0,200.0
89,89,2003.0,Laranja,411148.0,,1254984.0404040404,,73548.0,24750.0,24750.0
90,90,2003.0,Limão,9152.0,,152149.4252873563,,2688.0,696.0,696.0
91,91,2003.0,Mamão,30110.0,,506013.4580152672,,10986.0,2096.0,2100.0
92,92,2003.0,Mandioca,8937784.0,,2097815.7539490815,,817038.0,585326.0,587266.0
93,93,2003.0,Maracujá,64552.0,,584746.0205261636,,25790.0,6918.0,6920.0
94,94,2003.0,Melancia,115160.0,,1250832.0,,39092.0,5000.0,5006.0
95,95,2003.0,Milho,1047632.0,,170746.80574083314,,460842.0,569116.0,571722.0
96,96,2003.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
97,97,2003.0,Tangerina,3364.0,,108790.9090909091,,196.0,220.0,220.0
98,98,2003.0,Tomate,21996.0,,561040.625,,17434.0,768.0,778.0
99,99,2003.0,Uva,0.0,,0.0,,0.0,0.0,0.0
100,100,2004.0,Abacate,2450.0,,138557.6923076923,,728.0,104.0,104.0
101,101,2004.0,Abacaxi,630856.0,,1271929.7981356478,,214768.0,24888.0,24894.0
102,102,2004.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
103,103,2004.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
104,104,2004.0,Arroz,1273290.0,,170157.1168262838,,665550.0,594130.0,594858.0
105,105,2004.0,Banana,1080624.0,,1569322.29450206,,286632.0,84468.0,84928.0
106,106,2004.0,Borracha,1860.0,,6895.035856573705,,2238.0,2510.0,2510.0
107,107,2004.0,Cacau,65608.0,,38514.542685921995,,231538.0,101790.0,102114.0
108,108,2004.0,Café,41394.0,,57606.78132992327,,38198.0,37536.0,46490.0
109,109,2004.0,Castanha de caju,2758.0,,12175.25389755011,,2058.0,4490.0,4510.0
110,110,2004.0,Coco,,481328.0,,1136357.7666948435,108844.0,47320.0,47440.0
111,111,2004.0,Dendê,1476482.0,,265560.6365337337,,112982.0,91926.0,91938.0
112,112,2004.0,Feijão,127658.0,,87556.63042135828,,146584.0,152222.0,153812.0
113,113,2004.0,Goiaba,2754.0,,10200.0,,854.0,540.0,540.0
114,114,2004.0,Laranja,436238.0,,1187856.5240236863,,50038.0,26682.0,26682.0
115,115,2004.0,Limão,9074.0,,153567.1843575419,,2194.0,716.0,716.0
116,116,2004.0,Mamão,39526.0,,553033.5674110835,,12234.0,2418.0,2422.0
117,117,2004.0,Mandioca,8891044.0,,2083257.861930295,,942664.0,596800.0,596800.0
118,118,2004.0,Maracujá,76406.0,,582835.193933604,,31926.0,8374.0,8374.0
119,119,2004.0,Melancia,107510.0,,1273909.434599156,,32668.0,4740.0,4782.0
120,120,2004.0,Milho,1140622.0,,170847.36966644236,,460104.0,588444.0,589384.0
121,121,2004.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
122,122,2004.0,Tangerina,3364.0,,108790.9090909091,,210.0,220.0,220.0
123,123,2004.0,Tomate,23416.0,,558197.0074812968,,20500.0,802.0,806.0
124,124,2004.0,Uva,0.0,,0.0,,0.0,0.0,0.0
125,125,2005.0,Abacate,2450.0,,138557.6923076923,,728.0,104.0,104.0
126,126,2005.0,Abacaxi,536248.0,,1309405.4487191343,,281110.0,21626.0,21646.0
127,127,2005.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
128,128,2005.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
129,129,2005.0,Arroz,1263448.0,,176176.03766316854,,426646.0,597082.0,597104.0
130,130,2005.0,Banana,1075800.0,,1564262.2697870103,,299110.0,83666.0,83710.0
131,131,2005.0,Borracha,2002.0,,8236.265895953757,,3264.0,2768.0,2768.0
132,132,2005.0,Cacau,76238.0,,38782.92655673053,,227478.0,103454.0,103576.0
133,133,2005.0,Café,36042.0,,51758.90472753519,,32688.0,33252.0,44526.0
134,134,2005.0,Castanha de caju,2810.0,,13375.33883579496,,2202.0,4604.0,4604.0
135,135,2005.0,Coco,,495254.0,,1140132.4516255385,106568.0,51060.0,51870.0
136,136,2005.0,Dendê,1495332.0,,276204.5230877914,,120566.0,93426.0,93938.0
137,137,2005.0,Feijão,112744.0,,89807.7770035322,,157748.0,145518.0,145562.0
138,138,2005.0,Goiaba,7280.0,,24800.0,,2984.0,650.0,650.0
139,139,2005.0,Laranja,427944.0,,1185110.473077217,,75346.0,26186.0,26186.0
140,140,2005.0,Limão,11822.0,,188529.8267716535,,2088.0,1016.0,1016.0
141,141,2005.0,Mamão,33818.0,,566336.4595910419,,11032.0,2054.0,2058.0
142,142,2005.0,Mandioca,9595514.0,,2077223.334953512,,988750.0,632852.0,633052.0
143,143,2005.0,Maracujá,90594.0,,609422.802303263,,36234.0,8336.0,8336.0
144,144,2005.0,Melancia,121438.0,,1216370.3669064748,,40740.0,5560.0,5592.0
145,145,2005.0,Milho,1119396.0,,177525.43543042787,,399432.0,556516.0,557008.0
146,146,2005.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
147,147,2005.0,Tangerina,3414.0,,113343.4782608696,,226.0,230.0,230.0
148,148,2005.0,Tomate,24916.0,,582837.962962963,,22742.0,864.0,868.0
149,149,2005.0,Uva,0.0,,0.0,,0.0,0.0,0.0
150,150,2006.0,Abacate,1450.0,,112656.25,,464.0,64.0,64.0
151,151,2006.0,Abacaxi,708488.0,,1516838.5075434102,,229554.0,28104.0,28104.0
152,152,2006.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
153,153,2006.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
154,154,2006.0,Arroz,797240.0,,166696.83450095533,,306492.0,417658.0,419206.0
155,155,2006.0,Banana,1103572.0,,1551036.626425701,,338590.0,86098.0,86360.0
156,156,2006.0,Borracha,5082.0,,11438.329362298527,,5238.0,5708.0,5708.0
157,157,2006.0,Cacau,73190.0,,37763.85566113258,,203442.0,114924.0,115066.0
158,158,2006.0,Café,33304.0,,55364.63378545006,,60606.0,32440.0,44530.0
159,159,2006.0,Castanha de caju,2960.0,,12446.792811839323,,2368.0,4730.0,4730.0
160,160,2006.0,Coco,,512756.0,,1138257.5627004676,116970.0,51754.0,52084.0
161,161,2006.0,Dendê,2062008.0,,308875.5598567696,,179002.0,103330.0,103580.0
162,162,2006.0,Feijão,126386.0,,92111.9778021195,,167618.0,151546.0,151994.0
163,163,2006.0,Goiaba,8306.0,,84345.2127659574,,4222.0,752.0,752.0
164,164,2006.0,Laranja,427026.0,,1172377.139385603,,156782.0,26172.0,26172.0
165,165,2006.0,Limão,14990.0,,246767.2077922078,,3148.0,1232.0,1242.0
166,166,2006.0,Mamão,33400.0,,545204.0484903934,,14604.0,2186.0,2186.0
167,167,2006.0,Mandioca,10156852.0,,2069479.417593194,,1104696.0,628152.0,628192.0
168,168,2006.0,Maracujá,92334.0,,657817.1339285714,,45190.0,8960.0,8960.0
169,169,2006.0,Melancia,154610.0,,1386530.1462720546,,55436.0,7028.0,7050.0
